Industry Name,Code
3D Printing,VJET
3D Printing,SGLB
3D Printing,XONE
Aerospace & Defense,AVAV
Aerospace & Defense,ISSC
Aerospace & Defense,RADA
Aerospace & Defense,TATT
Aerospace & Defense,VSEC
Aerospace & Defense,ESLT
Aerospace & Defense,WWD
Aerospace & Defense,ATRO
Aerospace & Defense,ULBI
Aerospace & Defense,MRCY
Agriculture & AgTech,CDZI
Agriculture & AgTech,RAVN
Agriculture & AgTech,AGFS
Agriculture & AgTech,ARTW
Agriculture & AgTech,AGFY
Agriculture & AgTech,BIOX
Agriculture & AgTech,RKDA
Agriculture & AgTech,SEED
Agriculture & AgTech,ZIVO
Agriculture & AgTech,CYAN
Air Cargo Transport,AIRT
Air Cargo Transport,AIRTP
Air Cargo Transport,AIRTW
Air Cargo Transport,ATSG
Aircraft Leasing,WLFC
Airlines,ALGT
Airlines,AAL
Airlines,AAWW
Airlines,OMAB
Airlines,HA
Airlines,JBLU
Airlines,MESA
Airlines,RYAAY
Airlines,SKYW
Airlines,UAL
Auto Manufacturers,PCAR
Auto Parts & Services,AIMC
Auto Parts & Services,CVGI
Auto Parts & Services,CPRT
Auto Parts & Services,RUSHA
Auto Parts & Services,SHYF
Auto Parts & Services,REKR
Auto Parts & Services,BLBD
Auto Parts & Services,NNBR
Auto Parts & Services,WPRT
Basic Chemicals,HWKN
Basic Chemicals,GURE
Battery Tech,FLUX
Battery Tech,PLUG
Battery Tech,WATT
Building Products,AAON
Building Products,ROCK
Cannibis,KERNW
Cannibis,KERN
Clean Energy,GEVO
Clean Energy,GPRE
Clean Energy,GPP
Clean Energy,LTBR
Clean Energy,AMTX
Clean Energy,TANH
Clean Energy,REGI
Clean Energy,ANDE
Clean Energy,CHSCL
Clean Energy,CHSCO
Clean Energy,CHSCP
Specialty Chemicals,OBCI
Cleaning & Decontamination,AUVI
Cleaning & Decontamination,TOMZ
Cleaning & Decontamination,CECE
Cleaning & Decontamination,FTEK
Coal,METC
Coal,ADES
Coal,ARLP
Coal,AREC
Construction & Infrastructure,ROAD
Construction & Infrastructure,FAST
Construction & Infrastructure,GLDD
Construction & Infrastructure,GIFI
Construction & Infrastructure,IESC
Construction & Infrastructure,IEA
Construction & Infrastructure,LMB
Construction & Infrastructure,FSTR
Construction & Infrastructure,FRTA
Construction & Infrastructure,NWPX
Construction & Infrastructure,PPIH
Construction & Infrastructure,STRL
Construction Machinery,MNTX
Construction Machinery,TITN
Construction Machinery,GENC
Construction Machinery,ASTE
Building Materials,MERC
Building Materials,OSN
Building Materials,RETO
Building Materials,BECN
Building Materials,BBCP
Building Materials,SMID
Building Materials,USCR
Building Materials,USLM
Consulting Services,TRNS
Consulting Services,EXPO
Consulting Services,TTEK
Consulting Services,FORR
Consulting Services,HSII
Consulting Services,HURN
Consulting Services,ICFI
Consulting Services,NVEE
Container and Packaging,LOOP
Container and Packaging,PTVE
Container and Packaging,SLGN
Container and Packaging,TRS
Drones,EH
Electricity Generation,AEP
Electricity Generation,EXC
Electricity Generation,LNT
Electricity Generation,FCEL
Electricity Generation,HNRG
Electricity Generation,IPLDP
Electricity Generation,MGEE
Electricity Generation,NWE
Electricity Generation,OTTR
Electricity Generation,SPKE
