name,id,sql_request,enabled,icon_url
Cars Manufacturers,1,where ct.g_industry ilike '%electr%vehic%' OR ct.g_industry ilike '%auto%deal%' OR ct.g_industry ilike '%auto%manufact%' OR ct.g_industry ilike '%auto%marketpl%' OR ct.g_industry ilike '%auto%part%service%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Cable & Satellite,2,where ct.g_industry ilike '%satel%comm%' OR ct.g_industry ilike '%tv%radio%' OR ct.g_industry ilike '%5g%comm%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Gaming,3,where ct.g_industry ilike '%gam%esport%' OR ct.g_industry ilike '%casin%resort%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Cannabis,4,where ct.g_industry ilike '%cannabis%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Consumer Electronics,5,where ct.g_industry ilike '%electron%displ%' OR ct.g_industry ilike '%electron%manufact%' OR ct.g_industry ilike '%drones%' OR ct.g_industry ilike 'iot%' OR ct.g_industry ilike '%tech%conglomerat%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Hotels & Cruise Lines,6,where ct.g_industry ilike '%hotel%' and ct.g_industry not ilike '%reit%' OR ct.g_industry ilike '%onlin%travel%compan%' OR ct.g_industry ilike '%maritime%transport%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Peloton,7,where ct.g_industry ilike '%outdoor%life%style%' OR ct.g_industry ilike '%sport%drink%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Crypto,8,where ct.g_industry ilike '%cryptocurrenc%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Green Energy,9,where ct.g_industry ilike '%clean%energ%' OR ct.g_industry ilike '%energ%explor%' OR ct.g_industry ilike '%renew%energ%' OR ct.g_industry ilike '%solar%energ%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Health Insurance,10,where ct.g_industry ilike '%health%insur%' OR ct.g_industry ilike '%life%insur%' OR ct.g_industry ilike '%multilin%insur%' OR ct.g_industry ilike '%insur%broker%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Publishing,11,where ct.g_industry ilike '%digit%content%publish%' OR ct.g_industry ilike '%publishers%' OR ct.g_industry ilike '%digit%market%advert%' OR ct.g_industry ilike '%digit%media%web%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
