name,id,image_url,description,enabled,personalized,influencer_id,optimization_enabled
Agricultural Inputs,16,https://gainy-collections-production.s3.amazonaws.com/20220513/Agricultural%20Inputs.jpg,"Companies that make products for use in organic farming. These include feedstuffs, fertilizers, and permitted plant protection products. They also make cleaning agents and additives used in food production. These stocks often go up when the need for fertilizer is increased due to conflicts and the lack of food supplies.",1,0,,1
AI and Machine Learning,17,https://gainy-collections-production.s3.amazonaws.com/20220513/Advanced%20Materials.jpg,The artificial intelligence and machine learning bucket is assigned to the companies that move the overall revolution of AI and ML. These companies are moving the industry and creating semiconductors needed for it.,1,0,,1
Airlines,19,https://gainy-collections-production.s3.amazonaws.com/20220513/Airlines.jpg,Large airlines listed on US stock exchanges. These stocks tend to react well on increasing passenger flow and declining fuel costs and can be harmed by restrictions on travel and growing oil prices.,1,0,,1
CRISPR / Gene Editing,37,https://gainy-collections-production.s3.amazonaws.com/20220513/CRISPR%20Gene%20editing.jpg,"Gene therapy and gene editing are on the cutting edge of modern biotechnology. Gene therapies are used to correct genetic abnormalities by introducing genetic material at a cellular level. Gene editing takes the science to the next level, seeking to directly alter the genome itself as a therapeutic approach.",1,0,,1
Automotive Manufacturing,42,https://gainy-collections-production.s3.amazonaws.com/20220513/Automotive%20manufacturing.jpg,Global automotive manufacturing companies listed on US stock exchanges.,1,0,,1
IT Cloud Infrastructure,45,https://gainy-collections-production.s3.amazonaws.com/20220513/IT%20Cloud%20Infrastructure.jpg,"Cloud computing is a highly scalable style of computing that is an essential part of internet technologies. These include managed applications, databases, and function-as-a-service offerings. The industry is rapidly growing due to the high demand for scalable IT infrastructure.",1,0,,1
Construction Materials,48,https://gainy-collections-production.s3.amazonaws.com/20220513/Construction%20materials.jpg,Makers of construction (building) materials predominantly used in residential construction. These companies are often positively affected by a growing market and when construction costs increase due to inflation.,1,0,,1
Cruise Line,56,https://gainy-collections-production.s3.amazonaws.com/20220513/Cruise%20line.jpg,Global cruise line companies listed on US stock exchanges.,1,0,,1
Cloud Database Management,59,https://gainy-collections-production.s3.amazonaws.com/20220513/Cloud%20Database%20Management.jpg,Providers of public or private cloud software systems that manage data in cloud storage. These companies profit from increased use of cloud computing and storage. ,1,0,,1
Gold Mining,65,https://gainy-collections-production.s3.amazonaws.com/20220513/Gold%20mining.jpg,"Companies that acquire, develop, and operate precious metal fields, primarily mining for gold. The steady periods of growing gold prices benefit gold companies. Historically, gold mining stocks have outperformed gold prices during bull markets. However, during spikes in inflation, gold mining companies offer less inflationary protection than gold if the operating costs grow faster than the gold prices.",1,0,,1
Apparel Manufacturing and Retail,73,https://gainy-collections-production.s3.amazonaws.com/20220513/Apparel%20Manufacturing%20and%20Retail.jpg,Apparel manufacturing & retail companies traded on the US stock market. Apparel and retail companies may profit from increasing disposable income of households.,1,0,,1
EdTech,74,https://gainy-collections-production.s3.amazonaws.com/20220513/EdTech.jpg,EdTech companies are transforming education using software and a modern approach to the speed learning process. These companies often host multiple video courses and education programs and/or provide the functionality for educators and organizations to create their own learning experiences.,1,0,,1
Power & Gas Utilities,77,https://gainy-collections-production.s3.amazonaws.com/20220513/Energy%20companies.jpg,"Energy companies produce and distribute electric power and natural gas. Many US electric companies are regulated: the rates are set by the state. Therefore, the revenues may be slow to adjust for growing costs or inflation. On the other hand, electric utilities provide essential services and as other utility companies tend to weather economic turmoils well.",1,0,,1
"Movies, Music and Entertainment",79,"https://gainy-collections-production.s3.amazonaws.com/20220513/Movies,%20Music%20and%20Entertainment.jpg",Movie and entertainment companies listed on US stock exchanges.,1,0,,1
Big Tech,83,https://gainy-collections-production.s3.amazonaws.com/20220513/Big%20Tech.jpg,"The largest companies operating in the tech sector. These companies are the drivers of technological advances. Big tech stocks offer high returns when the market favors growth stocks and tech. On the other hand, they tend to be crowded and prone to high volatility. ",1,0,,1
Restaurants and Fast Food,86,https://gainy-collections-production.s3.amazonaws.com/20220513/Restaurants%20and%20Fast%20food.jpg,Global restaurants and fast food companies listed on US stock exchanges.,1,0,,1
Investment Banking and Brokerage,87,https://gainy-collections-production.s3.amazonaws.com/20220513/Investment%20Banking%20and%20Brokerage.jpg,"Investment banking and brokerage services providers function as an agent that specializes in selling securities products, such as stocks, mutual funds, and bonds.",1,0,,1
FinTech,90,https://gainy-collections-production.s3.amazonaws.com/20220513/FinTech.jpg,Financial technology (Fintech) is used to describe new tech that seeks to improve and automate the delivery and use of financial services.,1,0,,1
Food Producers,91,https://gainy-collections-production.s3.amazonaws.com/20220513/Food%20Producers.jpg,Largest food producers listed on US stock exchanges.,1,0,,1
Oil and Gas Production,92,https://gainy-collections-production.s3.amazonaws.com/20220513/Oil%20and%20Gas%20Production.jpg,"Companies that explore, produce, refine, and distribute oil, petroleum products, and natural gas. These stocks tend to do better during growing oil prices and economic expansion. However, the revenues of oil & gas companies tend to lag spot prices as most of the production is sold under longer contracts. ",1,0,,1
Furniture and Decor,95,https://gainy-collections-production.s3.amazonaws.com/20220513/Furniture%20and%20decor.jpg,Global furniture and decor companies listed on US stock exchanges.,1,0,,1
Green Energy,107,https://gainy-collections-production.s3.amazonaws.com/20220513/Green%20energy.jpg,"Green or renewable energy companies produce electric power using solar, wind, and hydro power assets. This group also includes companies manufacturing equipment for green energy generation. ",1,0,,1
Hotels and Resorts,115,https://gainy-collections-production.s3.amazonaws.com/20220513/Hotels%20and%20resorts.jpg,Global hotel companies listed on US stock exchanges.,1,0,,1
Cybersecurity,116,https://gainy-collections-production.s3.amazonaws.com/20220513/Cybersecurity.jpg,Global information security companies listed on US stock exchanges.,1,0,,1
Non-health Insurance,118,https://gainy-collections-production.s3.amazonaws.com/20220513/Non-health%20Insurance.jpg,"These companies create and distribute insurance products except health insurance. They offer Life Insurance, Casualty Insurance, Auto and Property insurance products. Like other Financial Services companies, Insurance companies usually benefit from higher interest rates.",1,0,,1
Lithium mining,125,https://gainy-collections-production.s3.amazonaws.com/20220513/Lithium%20mining.jpg,"Companies that mine lithium and produce lithium compounds. Lithium is key in the production of rechargeable batteries, including those used in electric vehicles.",1,0,,1
Natural Gas,134,https://gainy-collections-production.s3.amazonaws.com/20220513/Natural%20gas.jpg,"Natural gas companies explore and develop natural gas fields, and produce and distribute natural gas. In most cases, these companies produce not only natural gas but also oil. Oil and gas prices are usually highly correlated.",1,0,,1
Vaccine Companies,140,https://gainy-collections-production.s3.amazonaws.com/20220513/Vaccines%20companies.jpg,"Top vaccine and drug manufacturers, including COVID-19 vaccines. ",1,0,,1
REIT Diversified,145,https://gainy-collections-production.s3.amazonaws.com/20220513/Real%20estate%20management%20(REIT%20Diversified).jpg,"Real estate investment trusts are companies that own and operate real estate. REITs tend to pay meaningful dividends from the rental income they generate. REITs may provide some inflation protection as the value of real estate and rental rates increase with inflation. Diversified REITs often hold real estate across various segments: office, industrial, and residential.",1,0,,1
Semiconductors,154,https://gainy-collections-production.s3.amazonaws.com/20220513/Semiconductors.jpg,Global chip manufacturing companies listed on US stock exchanges.,1,0,,1
Logistics and Delivery,155,https://gainy-collections-production.s3.amazonaws.com/20220513/Logistics%20and%20Delivery.jpg,"Сompanies that provide integrated logistics solutions for ground, air, and sea transportation of goods. These companies are likely to benefit from the growing e-commerce market, and increased disposable income. However, they can be harmed by growing petroleum prices as well as higher lease expenses caused by increased interest rates.",1,0,,1
Steel Manufacturing,162,https://gainy-collections-production.s3.amazonaws.com/20220513/Steel%20manufacturing.jpg,"Producers of steel, steel alloys, and steel products. American steel producers may benefit from the drop of market share of Russian and Ukrainian producers as a result of the conflict in Ukraine",1,0,,1
Telecom and Internet,170,https://gainy-collections-production.s3.amazonaws.com/20220513/Telecom%20and%20Internet.jpg,Global telecom and internet companies that provide services for retail and corporate clients.,1,0,,1
Trucking and Transportation,172,https://gainy-collections-production.s3.amazonaws.com/20220513/Trucking%20and%20transportation.jpg,Trucking companies offer ground logistics solutions for commerce and retail. They own and operate fleets of specialty trucks. The companies are likely to benefit from growing trade and production but can be harmed by growing petroleum prices and increasing interest rates.,1,0,,1
Travel Technology,173,https://gainy-collections-production.s3.amazonaws.com/20220513/Travel%20Technology.jpg,"Travel technology companies that help to book and manage your trip, including apartments, hotels, flights, cars etc.",1,0,,1
Waste Management,191,https://gainy-collections-production.s3.amazonaws.com/20220513/Waste%20management.jpg,"These companies collect, recycle, and dispose of solid waste and recyclable materials. As most utilities, they tend to provide lower volatility and can be viewed as defensive assets. Also, the trend on recycling further benefits waste management companies.",1,0,,1
Banking,205,https://gainy-collections-production.s3.amazonaws.com/20220513/Banking.jpg,Large global banks and financial institutions traded on the US stock market. Banks tend to be positively impacted by higher interest rates.,1,0,,1
E-Commerce Platforms,207,https://gainy-collections-production.s3.amazonaws.com/20220513/E-Commerce%20platforms.jpg,"Digital commerce platforms provide the technology that enables customers to purchase goods and services through an interactive online experience. These products help support customers, manage website content, order functionality and data via APIs.",1,0,,1
Residential Construction,208,https://gainy-collections-production.s3.amazonaws.com/20220513/Residential%20Construction.jpg,"Companies that develop, build, and sell residential properties. Their stock prices may be positively affected by the growing demand for residential real estate and can provide some hedge against inflation.",1,0,,1
Internet Infrastructure,210,https://gainy-collections-production.s3.amazonaws.com/20220513/Internet%20Infrastructure.jpg,Сompanies that provide the technology for faster and more reliable internet services. These companies include hardware and software leaders in each space but do not include IT cloud infrastructure as there is a separate TTF for this.,1,0,,1
Advanced Materials,217,https://gainy-collections-production.s3.amazonaws.com/20220513/Aerospace.jpg,"Companies that produce materials with enhanced properties that improve on traditionally used ones. These include things like plastics, biomaterials, smart materials, and nano-engineered materials.",1,0,,1
Heavy Equipment and Machinery,225,https://gainy-collections-production.s3.amazonaws.com/20220513/Heavy%20Equipment%20and%20Machinery.jpg,Global heavy equipment and machinery companies listed on US stock exchanges.,1,0,,1
Electric Vehicles: Charging,230,https://gainy-collections-production.s3.amazonaws.com/20220513/Electric%20vehicles%20charging.jpg,Global electric vehicle charging companies listed on US stock exchanges.,1,0,,1
Top-20 for you,231,https://gainy-collections-production.s3.amazonaws.com/20220513/Top-20%20for%20you.jpg,Stocks that best fit your profile.,0,1,,1
3D printing,240,https://gainy-collections-production.s3.amazonaws.com/20220513/3D%20printing.jpg,Global companies that manufacture and sell 3D printers and 3D printing materials.,1,0,,1
Aerospace,241,https://gainy-collections-production.s3.amazonaws.com/20220513/Agricultural%20Inputs-1.jpg,"Global space exploration, travel, cargo, and tourism companies. The majority of these companies are involved in building actual planes and spaceships. ",1,0,,1
Electric Vehicles: Battery Tech,242,https://gainy-collections-production.s3.amazonaws.com/20220513/Electric%20vehicles%20battery%20tech.jpg,Global electric vehicle battery tech companies listed on US stock exchanges.,1,0,,1
Cannabis,243,https://gainy-collections-production.s3.amazonaws.com/20220513/Cannabis.jpg,Global cannabis companies listed on US stock exchanges. These companies may profit from the federal legalization of the recreational use of marijuana.,1,0,,1
Government and Commercial Construction,244,https://gainy-collections-production.s3.amazonaws.com/20220513/Government%20and%20Commercial%20Construction.jpg,"Companies that are engaged in large scale construction projects: from large production facilities to roads, bridges, and electric power systems. These companies do well during economic expansion and higher spending on infrastructure.",1,0,,1
Analytics and BI Platforms,245,https://gainy-collections-production.s3.amazonaws.com/20220513/Analytics%20and%20BI%20Platforms.jpg,"Analytics and business intelligence (ABI) companies provide platforms that enable users, including businesspeople, to model, analyze, and manage data. ABI platforms enjoy higher revenues with growing business activity and an active VC market.",1,0,,1
Autoparts,246,https://gainy-collections-production.s3.amazonaws.com/20220513/Autoparts.jpg,Companies that manufacure and distribute autoparts. These companies may be positively affected by growing car sales.,1,0,,1
Car Sales,247,https://gainy-collections-production.s3.amazonaws.com/20220513/Car%20sales.jpg,"Automobile dealers and online marketplaces. These stocks are often affected by the car sales and prices, as well as the disposable income of US households.",1,0,,1
Coal Mining,248,https://gainy-collections-production.s3.amazonaws.com/20220513/Coal%20mining.jpg,"These companies produce and distribute thermal and coking coal. Thermal coal is primarily used in electricity & heat generation, while coking coal is a key material for steel production. ",1,0,,1
