id,name,Sub 1,Sub 2,Sub 3,Sub 4,Sub 5,Sub 6,Sub 7,Sub 8,Sub 9,Sub 10,Sub 11,Sub 12,Sub 13,Sub 14,Sub 15,TTF 1,TTF 2,TTF 3,TTF 4,TTF 5,TTF 6,TTF 7,TTF 8,TTF 9,TTF 10,enabled,icon_url,order
1,Cars and Motorcycles,Auto Parts & Equipment,Automobile Manufacturers,Automotive Retail,Motorcycle Manufacturers,Tires & Rubber,,,,,,,,,,,Car Sales,Automotive Manufacturing,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Cars%20Manufacturers%403x.png,1
2,"Video games, Movies and Music",Broadcasting,Interactive Home Entertainment,Interactive Media & Services,Movies & Entertainment,,,,,,,,,,,,Video games,"Movies, Music and Entertainment",,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Cable%20%26%20Satellite%403x.png,1
4,Cannabis,,,,,,,,,,,,,,,,Cannabis,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Cannabis%403x.png,1
5,"Consumer Electronics, Furniture and Staples",Computer & Electronics Retail,Consumer Electronics,Electronic Equipment & Instruments,Electronic Manufacturing Services,Home Furnishings,Home Improvement Retail,Homefurnishing Retail,Household Products,Housewares & Specialties,Leisure Products,Metal & Glass Containers,Specialty Stores,Trading Companies & Distributors,Office Services & Supplies,,Consumer Staples,Furniture and Decor,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Consumer%20Electronics%403x.png,1
6,Hotels and Cruise Lines,Hotel & Resort REITs,"Hotels, Resorts & Cruise Lines",Leisure Facilities,,,,,,,,,,,,,Hotels and Resorts,Travel Technology,Cruise Line,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Hotels%20and%20Cruise%20Lines%403x.png,1
7,Sport and Fitness,Sport and Fitness,,,,,,,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Peloton%403x.png,1
8,Cryptocurrencies,Crypto BaaS Currency,Crypto Private Currency,Transparent DeFi Currency,Crypto Transparent Special Currency,,,,,,,,,,,,Crypto Exchanges,Crypto Mining,,,,,,,,,0,https://gainy-interests-production.s3.amazonaws.com/Cryptocurrencies%403x.png,0
9,Green Energy,Environmental & Facilities Services,Renewable Electricity,,,,,,,,,,,,,,Green Energy,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Green%20Energy%403x.png,1
10,"Banking, Insurance and Financial services",Asset Management & Custody Banks,Consumer Finance,Diversified Banks,Diversified Capital Markets,Insurance Brokers,Investment Banking & Brokerage,Life & Health Insurance,Multi-line Insurance,Multi-Sector Holdings,Other Diversified Financial Services,Property & Casualty Insurance,Regional Banks,Reinsurance,Specialized Finance,Thrifts & Mortgage Finance,Health Insurance,Non-health Insurance,Banking,Investment Banking and Brokerage,FinTech,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Health%20Insurance%403x.png,1
11,Advertising and Publishing,Advertising,Commercial Printing,Internet & Direct Marketing Retail,Publishing,,,,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Publishing%403x.png,1
