date,ttf_name,symbol,weight
2015-02-01,"Movies, Music and Entertainment",DIS,0.151640463
2015-03-01,"Movies, Music and Entertainment",DIS,0.144698764
2015-04-01,"Movies, Music and Entertainment",DIS,0.150001811
2015-05-01,"Movies, Music and Entertainment",DIS,0.144255254
2015-06-01,"Movies, Music and Entertainment",DIS,0.1433048
2015-07-01,"Movies, Music and Entertainment",DIS,0.145514516
2015-08-01,"Movies, Music and Entertainment",DIS,0.151219237
2015-09-01,"Movies, Music and Entertainment",DIS,0.125472212
2015-10-01,"Movies, Music and Entertainment",DIS,0.121654171
2015-11-01,"Movies, Music and Entertainment",DIS,0.12022542
2015-12-01,"Movies, Music and Entertainment",DIS,0.124599837
2016-01-01,"Movies, Music and Entertainment",DIS,0.123017154
2016-02-01,"Movies, Music and Entertainment",DIS,0.11588174
2016-03-01,"Movies, Music and Entertainment",DIS,0.122945689
2016-04-01,"Movies, Music and Entertainment",DIS,0.123966864
2016-05-01,"Movies, Music and Entertainment",DIS,0.122223215
2016-06-01,"Movies, Music and Entertainment",DIS,0.135046552
2016-07-01,"Movies, Music and Entertainment",DIS,0.118242013
2016-08-01,"Movies, Music and Entertainment",DIS,0.120133938
2016-09-01,"Movies, Music and Entertainment",DIS,0.122771577
2016-10-01,"Movies, Music and Entertainment",DIS,0.131542749
2016-11-01,"Movies, Music and Entertainment",DIS,0.147947521
2016-12-01,"Movies, Music and Entertainment",DIS,0.130490478
2017-01-01,"Movies, Music and Entertainment",DIS,0.128787143
2017-02-01,"Movies, Music and Entertainment",DIS,0.113066165
2017-03-01,"Movies, Music and Entertainment",DIS,0.105330231
2017-04-01,"Movies, Music and Entertainment",DIS,0.066752268
2017-05-01,"Movies, Music and Entertainment",DIS,0.066075864
2017-06-01,"Movies, Music and Entertainment",DIS,0.069428922
2017-07-01,"Movies, Music and Entertainment",DIS,0.12556112
2017-08-01,"Movies, Music and Entertainment",DIS,0.11662241
2017-09-01,"Movies, Music and Entertainment",DIS,0.116896732
2017-10-01,"Movies, Music and Entertainment",DIS,0.115668119
2017-11-01,"Movies, Music and Entertainment",DIS,0.119704579
2017-12-01,"Movies, Music and Entertainment",DIS,0.098873884
2018-01-01,"Movies, Music and Entertainment",DIS,0.110303845
2018-02-01,"Movies, Music and Entertainment",DIS,0.098282918
2018-03-01,"Movies, Music and Entertainment",DIS,0.133823936
2018-04-01,"Movies, Music and Entertainment",DIS,0.132272235
2018-05-01,"Movies, Music and Entertainment",DIS,0.126522004
2018-06-01,"Movies, Music and Entertainment",DIS,0.135044696
2018-07-01,"Movies, Music and Entertainment",DIS,0.123288214
2018-08-01,"Movies, Music and Entertainment",DIS,0.121948321
2018-09-01,"Movies, Music and Entertainment",DIS,0.123896202
2018-10-01,"Movies, Music and Entertainment",DIS,0.130284378
2018-11-01,"Movies, Music and Entertainment",DIS,0.103116373
2018-12-01,"Movies, Music and Entertainment",DIS,0.111031828
2019-01-01,"Movies, Music and Entertainment",DIS,0.09984107
2019-02-01,"Movies, Music and Entertainment",DIS,0.101482875
2019-03-01,"Movies, Music and Entertainment",DIS,0.107452646
2019-04-01,"Movies, Music and Entertainment",DIS,0.107386226
2019-05-01,"Movies, Music and Entertainment",DIS,0.100231208
2019-06-01,"Movies, Music and Entertainment",DIS,0.097389979
2019-07-01,"Movies, Music and Entertainment",DIS,0.096130564
2019-08-01,"Movies, Music and Entertainment",DIS,0.093008005
2019-09-01,"Movies, Music and Entertainment",DIS,0.085549574
2019-10-01,"Movies, Music and Entertainment",DIS,0.090649968
2019-11-01,"Movies, Music and Entertainment",DIS,0.086723343
2019-12-01,"Movies, Music and Entertainment",DIS,0.083744099
2020-01-01,"Movies, Music and Entertainment",DIS,0.081165713
