symbol,weight,date,ttf_name,optimized_at
NMR,0.1576652157048155,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
FNF,0.1324493914110268,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
GS,0.1298521779394223,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
MS,0.1178094941322365,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
IBKR,0.11459240317789894,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
SCHW,0.10666932023299987,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
LPLA,0.09972375759702796,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
XP,0.08058600083946475,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
HOOD,0.06065223896510746,2022-12-01,Investment Banking and Brokerage,2022-12-01 07:00:08.081275
GEN,0.1940642433119209,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
CHKP,0.09833809223554842,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
NTCT,0.09811230321167978,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
CSCO,0.08681236171216608,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
RDWR,0.05519238844935328,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
ATEN,0.05482850867598193,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
FFIV,0.05401481065059582,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
PANW,0.04502178101099291,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
QLYS,0.043840441915127044,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
TENB,0.036385543225942514,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
FTNT,0.036125326262015034,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
CYBR,0.03542970235526184,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
RPD,0.03213813947744603,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
VRNS,0.030150838549061094,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
CRWD,0.029685723605237205,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
OKTA,0.026364777850719348,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
ZS,0.023899626930572362,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
NET,0.019595390570378415,2022-12-01,Cybersecurity,2022-12-01 07:00:09.303855
LOPE,0.24798345906245967,2022-12-01,EdTech,2022-12-01 07:00:09.614682
LRN,0.19891100678984827,2022-12-01,EdTech,2022-12-01 07:00:09.614682
ARCE,0.172951186765929,2022-12-01,EdTech,2022-12-01 07:00:09.614682
COUR,0.13707523294690935,2022-12-01,EdTech,2022-12-01 07:00:09.614682
UDMY,0.1260528702462824,2022-12-01,EdTech,2022-12-01 07:00:09.614682
CHGG,0.11702624418857134,2022-12-01,EdTech,2022-12-01 07:00:09.614682
ZWS,0.19886704600060046,2022-12-01,Water Utilities,2022-12-01 07:00:09.961684
AWK,0.1815556458206903,2022-12-01,Water Utilities,2022-12-01 07:00:09.961684
WTRG,0.17842979350320623,2022-12-01,Water Utilities,2022-12-01 07:00:09.961684
CWT,0.14973334832964366,2022-12-01,Water Utilities,2022-12-01 07:00:09.961684
MSEX,0.14950608735982693,2022-12-01,Water Utilities,2022-12-01 07:00:09.961684
AWR,0.14190807898603247,2022-12-01,Water Utilities,2022-12-01 07:00:09.961684
WPM,0.18467737024240044,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
BVN,0.14937125898124098,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
AUY,0.1485211031920171,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
AG,0.10986988340632334,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
HL,0.10969922737514977,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
FSM,0.10371870338556974,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
EXK,0.09815164360395785,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
CDE,0.09599080981334077,2022-12-01,Silver mining,2022-12-01 07:00:10.328975
TTC,0.11950398730284688,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
PCAR,0.1146837386560563,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
LNN,0.11365570881033422,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
ALSN,0.1095724210278268,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
OSK,0.10560911356228575,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
CAT,0.09453406995684613,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
DE,0.09410716973725594,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
CNHI,0.08391565212909675,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
TEX,0.08356365162576561,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
AGCO,0.08085448719168571,2022-12-01,Heavy Equipment and Machinery,2022-12-01 07:00:10.719602
SONY,0.3,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
MSFT,0.21971292718744664,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
QCOM,0.14232294107445503,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
BABA,0.09723128870500357,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
BIDU,0.09476463072192517,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
SNAP,0.05855247966754287,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
NVDA,0.05711442814215509,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
U,0.0303013045014716,2022-12-01,Virtual reality and AR,2022-12-01 07:00:11.105129
RY,0.05541678714730232,2022-12-01,Banking,2022-12-01 07:00:12.185036
BNS,0.05497813926159514,2022-12-01,Banking,2022-12-01 07:00:12.185036
TD,0.054364844175644994,2022-12-01,Banking,2022-12-01 07:00:12.185036
HDB,0.05412662279940558,2022-12-01,Banking,2022-12-01 07:00:12.185036
CM,0.05330316605301295,2022-12-01,Banking,2022-12-01 07:00:12.185036
USB,0.05199850507501886,2022-12-01,Banking,2022-12-01 07:00:12.185036
GS,0.05002407774301751,2022-12-01,Banking,2022-12-01 07:00:12.185036
BSBR,0.04987032547319766,2022-12-01,Banking,2022-12-01 07:00:12.185036
HSBC,0.04914230316640374,2022-12-01,Banking,2022-12-01 07:00:12.185036
JPM,0.04887760925287076,2022-12-01,Banking,2022-12-01 07:00:12.185036
MS,0.04839716225500726,2022-12-01,Banking,2022-12-01 07:00:12.185036
C,0.047308805291370055,2022-12-01,Banking,2022-12-01 07:00:12.185036
BAC,0.045615977079643405,2022-12-01,Banking,2022-12-01 07:00:12.185036
WFC,0.04492768483626214,2022-12-01,Banking,2022-12-01 07:00:12.185036
EWBC,0.040106092405597774,2022-12-01,Banking,2022-12-01 07:00:12.185036
COF,0.039697728030784474,2022-12-01,Banking,2022-12-01 07:00:12.185036
LYG,0.03881733622039675,2022-12-01,Banking,2022-12-01 07:00:12.185036
BCS,0.03724387857903682,2022-12-01,Banking,2022-12-01 07:00:12.185036
ING,0.03588083261671791,2022-12-01,Banking,2022-12-01 07:00:12.185036
DB,0.033829323925890525,2022-12-01,Banking,2022-12-01 07:00:12.185036
NU,0.033262899346275,2022-12-01,Banking,2022-12-01 07:00:12.185036
CS,0.032809899265548295,2022-12-01,Banking,2022-12-01 07:00:12.185036
