symbol,gic_sector,gic_industry,gic_sub_industry,gic_group,description
NU,Financials,Banks,Diversified Banks,Banks,
PECO,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,Real Estate,
VRE,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,Real Estate,
ONL,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs,Real Estate,
DBRG,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Real Estate,
BRSP,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Real Estate,
MPLN,Health Care,Health Care Providers & Services,Managed Health Care,Health Care Equipment & Services,
BHG,Health Care,Health Care Providers & Services,Managed Health Care,Health Care Equipment & Services,
CLOV,Health Care,Health Care Providers & Services,Managed Health Care,Health Care Equipment & Services,
MSGS,Communication Services,Entertainment,Movies & Entertainment,Media & Entertainment,
WMG,Communication Services,Entertainment,Movies & Entertainment,Media & Entertainment,
WBD,Communication Services,Entertainment,Movies & Entertainment,Media & Entertainment,
PLTK,Communication Services,Entertainment,Interactive Home Entertainment,Media & Entertainment,
RBLX,Communication Services,Entertainment,Interactive Home Entertainment,Media & Entertainment,
SOFI,Financials,Consumer Finance,Consumer Finance,Diversified Financials,
ULCC,Industrials,Airlines,Airlines,Transportation,
XL,Consumer Discretionary,Auto Components,Auto Parts & Equipment,Automobiles & Components,
AEVA,Consumer Discretionary,Auto Components,Auto Parts & Equipment,Automobiles & Components,
FLNC,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity,Utilities,
ADN,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity,Utilities,
IOT,Information Technology,IT Services,Internet Services & Infrastructure,Software & Services,
GTLB,Information Technology,IT Services,Data Processing & Outsourced Services,Software & Services,
NVEI,Information Technology,IT Services,Internet Services & Infrastructure,Software & Services,
DOCN,Information Technology,IT Services,Internet Services & Infrastructure,Software & Services,
AKAN,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",
LFLY,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",
RACYW,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",
FLGC,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",
CLVR,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",
S,Information Technology,Software,Systems Software,Software & Services,
LTCH,Information Technology,Software,Systems Software,Software & Services,
RXT,Information Technology,Software,Systems Software,Software & Services,
VTEX,Information Technology,Software,Application Software,Software & Services,
MVST,Consumer Discretionary,Automobiles,Automobile Manufacturers,Automobiles & Components,
ARVL,Consumer Discretionary,Automobiles,Automobile Manufacturers,Automobiles & Components,
RIVN,Consumer Discretionary,Automobiles,Automobile Manufacturers,Automobiles & Components,
LCID,Consumer Discretionary,Automobiles,Automobile Manufacturers,Automobiles & Components,
FSR,Consumer Discretionary,Automobiles,Automobile Manufacturers,Automobiles & Components,
ZWS,Utilities,Water Utilities,Water Utilities,Utilities,
ARIS,Utilities,Water Utilities,Water Utilities,Utilities,
WOLF,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,Semiconductors & Semiconductor Equipment,
PCT,Materials,Chemicals,Specialty Chemicals,Materials,
FIGS,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",Consumer Durables & Apparel,
COUR,Consumer Discretionary,Diversified Consumer Services,Education Services,Consumer Services,
UDMY,Consumer Discretionary,Diversified Consumer Services,Education Services,Consumer Services,
ROCC,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,Energy,
